"gene","locus_tag","product","combined"
"mnhF.2","NWMN_0817","Na+/H+ antiporter subunit","mnhF.2: Na+/H+ antiporter subunit"
"mnhE.2","NWMN_0818","Na+/H+ antiporter subunit","mnhE.2: Na+/H+ antiporter subunit"
"mnhD.2","NWMN_0819","Na+/H+ antiporter subunit","mnhD.2: Na+/H+ antiporter subunit"
"mnhC.2","NWMN_0820","Na+/H+ antiporter subunit","mnhC.2: Na+/H+ antiporter subunit"
"mnhB.2","NWMN_0821","Na+/H+ antiporter subunit","mnhB.2: Na+/H+ antiporter subunit"
"mnhA.2","NWMN_0822","Na+/H+ antiporter subunit","mnhA.2: Na+/H+ antiporter subunit"
"p:kapB","NWMN_0823","conserved hypothetical protein","p:kapB: conserved hypothetical protein"
"ppi","NWMN_0824","cyclophilin type peptidyl-prolyl cis-trans isomerase","ppi: cyclophilin type peptidyl-prolyl cis-trans isomerase"
"0825","NWMN_0825","conserved hypothetical protein","0825: conserved hypothetical protein"
"0826","NWMN_0826","NADH-dependent flavin oxidoreductase","0826: NADH-dependent flavin oxidoreductase"
"rocD","NWMN_0827","ornithine-oxo-acid transaminase","rocD: ornithine-oxo-acid transaminase"
"gudB","NWMN_0828","NAD-specific glutamate dehydrogenase","gudB: NAD-specific glutamate dehydrogenase"
"0829","NWMN_0829","hypothetical protein","0829: hypothetical protein"
"glpQ","NWMN_0830","glycerophosphoryl diester phosphodiesterase","glpQ: glycerophosphoryl diester phosphodiesterase"
"argH","NWMN_0831","argininosuccinate lyase","argH: argininosuccinate lyase"
"argG","NWMN_0832","argininosuccinate synthase","argG: argininosuccinate synthase"
"pgi","NWMN_0833","glucose-6-phosphate isomerase","pgi: glucose-6-phosphate isomerase"
"0834","NWMN_0834","conserved hypothetical protein","0834: conserved hypothetical protein"
"spsA","NWMN_0835","type-I signal peptidase A component","spsA: type-I signal peptidase A component"
"spsB","NWMN_0836","signal peptidase IB","spsB: signal peptidase IB"
"rexB","NWMN_0837","exonuclease RexB","rexB: exonuclease RexB"
"rexA","NWMN_0838","exonuclease RexA","rexA: exonuclease RexA"
"0839","NWMN_0839","fumarylacetoacetate hydrolase family protein","0839: fumarylacetoacetate hydrolase family protein"
"0840","NWMN_0840","conserved hypothetical protein","0840: conserved hypothetical protein"
"cdr","NWMN_0841","coenzyme A disulfide reductase","cdr: coenzyme A disulfide reductase"
"0842","NWMN_0842","conserved hypothetical protein","0842: conserved hypothetical protein"
"p:sufT","NWMN_0843","conserved hypothetical protein","p:sufT: conserved hypothetical protein"
"clpB","NWMN_0844","conserved hypothetical protein","clpB: conserved hypothetical protein"
"p:clpB","NWMN_0845","ATP-dependent Clp protease%2C ATP-binding subunit ClpB","p:clpB: ATP-dependent Clp protease%2C ATP-binding subunit ClpB"
"0846","NWMN_0846","LysR family regulatory protein","0846: LysR family regulatory protein"
"0847","NWMN_0847","conserved hypothetical protein","0847: conserved hypothetical protein"
"0848","NWMN_0848","conserved hypothetical protein","0848: conserved hypothetical protein"
"0849","NWMN_0849","conserved hypothetical protein","0849: conserved hypothetical protein"
"0850","NWMN_0850","conserved hypothetical protein","0850: conserved hypothetical protein"
"0851","NWMN_0851","truncated MHC class II analog protein","0851: truncated MHC class II analog protein"
"0852","NWMN_0852","conserved hypothetical protein","0852: conserved hypothetical protein"
"p:fabH","NWMN_0853","3-oxoacyl-(acyl-carrier-protein) synthase III","p:fabH: 3-oxoacyl-(acyl-carrier-protein) synthase III"
"p:fabF","NWMN_0854","3-oxoacyl-(acyl-carrier-protein) synthase II","p:fabF: 3-oxoacyl-(acyl-carrier-protein) synthase II"
"oppB","NWMN_0855","conserved hypothetical protein","oppB: conserved hypothetical protein"
"p:opp3B","NWMN_0856","oligopeptide transport system permease protein","p:opp3B: oligopeptide transport system permease protein"
"oppC","NWMN_0857","oligopeptide ABC transporter%2C permease protein","oppC: oligopeptide ABC transporter%2C permease protein"
"oppD","NWMN_0858","oligopeptide transport ATP-binding protein","oppD: oligopeptide transport ATP-binding protein"
"oppF","NWMN_0859","oligopeptide ABC transporter%2C ATP-binding protein","oppF: oligopeptide ABC transporter%2C ATP-binding protein"
"p:opp3A","NWMN_0860","conserved hypothetical protein","p:opp3A: conserved hypothetical protein"
"p:opp4A","NWMN_0861","oligopeptide ABC transporter%2C oligopeptide-binding protein","p:opp4A: oligopeptide ABC transporter%2C oligopeptide-binding protein"
"appF","NWMN_0862","conserved hypothetical protein","appF: conserved hypothetical protein"
"p:opp4F","NWMN_0863","oligopeptide ABC transporter%2C ATP-binding protein","p:opp4F: oligopeptide ABC transporter%2C ATP-binding protein"
"p:opp4B","NWMN_0864","conserved hypothetical protein","p:opp4B: conserved hypothetical protein"
"p:opp4C","NWMN_0865","oligopeptide ABC transporter%2C permease protein","p:opp4C: oligopeptide ABC transporter%2C permease protein"
"trpS","NWMN_0866","tryptophanyl-tRNA synthetase","trpS: tryptophanyl-tRNA synthetase"
"spxA","NWMN_0867","conserved hypothetical protein","spxA: conserved hypothetical protein"
"p:trfA","NWMN_0868","conserved hypothetical protein","p:trfA: conserved hypothetical protein"
"p:trfB","NWMN_0869","conserved hypothetical protein","p:trfB: conserved hypothetical protein"
"p:pepF","NWMN_0870","oligoendopeptidase F","p:pepF: oligoendopeptidase F"
"0871","NWMN_0871","hypothetical protein","0871: hypothetical protein"
"p:yjbH","NWMN_0872","GTP pyrophosphokinase","p:yjbH: GTP pyrophosphokinase"
"p:yjbI","NWMN_0873","protozoan/cyanobacterial globin family protein","p:yjbI: protozoan/cyanobacterial globin family protein"
"0874","NWMN_0874","conserved hypothetical protein","0874: conserved hypothetical protein"
"0875","NWMN_0875","conserved hypothetical protein","0875: conserved hypothetical protein"
"p:relQ","NWMN_0876","GTP pyrophosphokinase","p:relQ: GTP pyrophosphokinase"
"ppnK","NWMN_0877","inorganic polyphosphate/ATP-NAD kinase","ppnK: inorganic polyphosphate/ATP-NAD kinase"
"0878","NWMN_0878","RNA pseudouridylate synthase","0878: RNA pseudouridylate synthase"
"p:mgtE","NWMN_0879","magnesium transporter","p:mgtE: magnesium transporter"
"p:cpaA","NWMN_0880","monovalent cation/H+ antiporter-2 (CPA2) family protein","p:cpaA: monovalent cation/H+ antiporter-2 (CPA2) family protein"
"p:fabI","NWMN_0881","enoyl-(acyl carrier protein) reductase","p:fabI: enoyl-(acyl carrier protein) reductase"
"p:cozEa","NWMN_0882","conserved hypothetical protein","p:cozEa: conserved hypothetical protein"
"0883","NWMN_0883","Na+/alanine symporter family protein","0883: Na+/alanine symporter family protein"
"0884","NWMN_0884","conserved hypothetical protein","0884: conserved hypothetical protein"
"0885","NWMN_0885","2'%2C5' RNA ligase","0885: 2'%2C5' RNA ligase"
"p:ltaA","NWMN_0886","conserved hypothetical protein","p:ltaA: conserved hypothetical protein"
"murG.1","NWMN_0887","UDP-glucose diacylglycerol glucosyltransferase","murG.1: UDP-glucose diacylglycerol glucosyltransferase"
"murE","NWMN_0888","UDP-N-acetylmuramoylalanyl-D-glutamate-2%2C 6-diaminopimelate ligase","murE: UDP-N-acetylmuramoylalanyl-D-glutamate-2%2C 6-diaminopimelate ligase"
"0889","NWMN_0889","conserved hypothetical protein","0889: conserved hypothetical protein"
"prfC","NWMN_0890","peptide chain release factor 3","prfC: peptide chain release factor 3"
"0891","NWMN_0891","conserved hypothetical protein","0891: conserved hypothetical protein"
"htrA","NWMN_0892","serine protease HtrA","htrA: serine protease HtrA"
"p:ktrD","NWMN_0893","Na+ transporting ATP synthase","p:ktrD: Na+ transporting ATP synthase"
"0894","NWMN_0894","5' nucleotidase family protein","0894: 5' nucleotidase family protein"
"comK","NWMN_0895","competence transcription factor ComK homolog","comK: competence transcription factor ComK homolog"
"0896","NWMN_0896","conserved hypothetical protein","0896: conserved hypothetical protein"
"p:lplA1","NWMN_0897","lipoate-protein ligase A","p:lplA1: lipoate-protein ligase A"
"0898","NWMN_0898","conserved hypothetical protein","0898: conserved hypothetical protein"
"0899","NWMN_0899","conserved hypothetical protein","0899: conserved hypothetical protein"
"0900","NWMN_0900","hypothetical protein","0900: hypothetical protein"
"0901","NWMN_0901","conserved hypothetical protein","0901: conserved hypothetical protein"
"0902","NWMN_0902","conserved hypothetical protein","0902: conserved hypothetical protein"
"0903","NWMN_0903","conserved hypothetical protein","0903: conserved hypothetical protein"
"0904","NWMN_0904","conserved hypothetical protein","0904: conserved hypothetical protein"
"0905","NWMN_0905","conserved hypothetical protein","0905: conserved hypothetical protein"
"p:tarM","NWMN_0906","glycosyl transferase%2C group 1 family protein","p:tarM: glycosyl transferase%2C group 1 family protein"
"0907","NWMN_0907","conserved hypothetical protein","0907: conserved hypothetical protein"
"0908","NWMN_0908","conserved hypothetical protein","0908: conserved hypothetical protein"
"0909","NWMN_0909","conserved hypothetical protein","0909: conserved hypothetical protein"
"0910","NWMN_0910","conserved hypothetical protein","0910: conserved hypothetical protein"
"p:menA","NWMN_0911","1%2C4-dihydroxy-2-naphthoate octaprenyltransferase","p:menA: 1%2C4-dihydroxy-2-naphthoate octaprenyltransferase"
"p:menF","NWMN_0912","conserved hypothetical protein","p:menF: conserved hypothetical protein"
"memD","NWMN_0913","2-succinyl-6-hydroxy-2%2C4-cyclohexadiene-1-carboxy lic acid synthase","memD: 2-succinyl-6-hydroxy-2%2C4-cyclohexadiene-1-carboxy lic acid synthase"
"p:menH","NWMN_0914","conserved hypothetical protein","p:menH: conserved hypothetical protein"
"memB","NWMN_0915","naphthoate synthase","memB: naphthoate synthase"
"sspC","NWMN_0916","cysteine protease precursor","sspC: cysteine protease precursor"
"sspB.1","NWMN_0917","cysteine protease precursor","sspB.1: cysteine protease precursor"
"sspA","NWMN_0918","V8 protease%2C glutamyl endopeptidase precursor","sspA: V8 protease%2C glutamyl endopeptidase precursor"
"p:patA","NWMN_0919","aminotransferase%2C class I","p:patA: aminotransferase%2C class I"
"0920","NWMN_0920","conserved hypothetical protein","0920: conserved hypothetical protein"
"0921","NWMN_0921","ATL autolysin transcriptional regulator","0921: ATL autolysin transcriptional regulator"
"atl","NWMN_0922","bifunctional autolysin precursor","atl: bifunctional autolysin precursor"
"0923","NWMN_0923","acetyltransferase%2C GNAT family protein","0923: acetyltransferase%2C GNAT family protein"
"0924","NWMN_0924","conserved hypothetical protein","0924: conserved hypothetical protein"
"0925","NWMN_0925","conserved hypothetical protein","0925: conserved hypothetical protein"
"p:fmtA","NWMN_0926","autolysis and methicillin resistant-related protein FmtA","p:fmtA: autolysis and methicillin resistant-related protein FmtA"
"qoxD","NWMN_0927","quinol oxidase polypeptide IV","qoxD: quinol oxidase polypeptide IV"
"qoxC","NWMN_0928","quinol oxidase polypeptide III","qoxC: quinol oxidase polypeptide III"
"qoxB","NWMN_0929","quinol oxidase polypeptide I QoxB","qoxB: quinol oxidase polypeptide I QoxB"
"qoxA","NWMN_0930","quinol oxidase polypeptide II QoxA","qoxA: quinol oxidase polypeptide II QoxA"
"0931","NWMN_0931","conserved hypothetical protein","0931: conserved hypothetical protein"
"folD","NWMN_0932","FolD bifunctional protein","folD: FolD bifunctional protein"
"purE","NWMN_0933","phosphoribosylaminoimidazole carboxylase catalytic subunit","purE: phosphoribosylaminoimidazole carboxylase catalytic subunit"
"purK","NWMN_0934","phosphoribosylaminoimidazole carboxylase%2C ATPase subunit","purK: phosphoribosylaminoimidazole carboxylase%2C ATPase subunit"
"purC","NWMN_0935","phosphoribosylaminoimidazole-succinocarboxamide synthase","purC: phosphoribosylaminoimidazole-succinocarboxamide synthase"
"purQ","NWMN_0936","phosphoribosylformylglycinamidine synthase I","purQ: phosphoribosylformylglycinamidine synthase I"
"purL","NWMN_0937","phosphoribosylformylglycinamidine synthase II","purL: phosphoribosylformylglycinamidine synthase II"
"purF","NWMN_0938","amidophosphoribosyltransferase precursor","purF: amidophosphoribosyltransferase precursor"
"purM","NWMN_0939","phosphoribosylformylglycinamidine cyclo-ligase","purM: phosphoribosylformylglycinamidine cyclo-ligase"
"purN","NWMN_0940","phosphoribosylglycinamide formyltransferase","purN: phosphoribosylglycinamide formyltransferase"
"purH","NWMN_0941","bifunctional purine biosynthesis protein","purH: bifunctional purine biosynthesis protein"
"purD","NWMN_0942","phosphoribosylamine-glycine ligase","purD: phosphoribosylamine-glycine ligase"
"p:thiX","NWMN_0943","conserved hypothetical protein","p:thiX: conserved hypothetical protein"
"p:thiW","NWMN_0944","conserved hypothetical protein","p:thiW: conserved hypothetical protein"
"p:thiV","NWMN_0945","conserved hypothetical protein","p:thiV: conserved hypothetical protein"
"0946","NWMN_0946","conserved hypothetical protein","0946: conserved hypothetical protein"
"p:rlmQ","NWMN_0947","conserved hypothetical protein","p:rlmQ: conserved hypothetical protein"
"0948","NWMN_0948","conserved hypothetical protein","0948: conserved hypothetical protein"
"p:ptsH","NWMN_0949","histidine-containing phosphocarrier protein","p:ptsH: histidine-containing phosphocarrier protein"
"p:ptsI","NWMN_0950","phosphoenolpyruvate-protein phosphatase","p:ptsI: phosphoenolpyruvate-protein phosphatase"
"nrdH","NWMN_0951","redoxin faimily protein NrdH","nrdH: redoxin faimily protein NrdH"
"cydA","NWMN_0952","cytochrome D ubiquinol oxidase%2C subunit I","cydA: cytochrome D ubiquinol oxidase%2C subunit I"
"cydB","NWMN_0953","cytochrome D ubiquinol oxidase%2C subunit II","cydB: cytochrome D ubiquinol oxidase%2C subunit II"
"p:ktrA","NWMN_0954","conserved hypothetical protein","p:ktrA: conserved hypothetical protein"
"0955","NWMN_0955","conserved hypothetical protein","0955: conserved hypothetical protein"
"p:rnjA","NWMN_0956","conserved hypothetical protein","p:rnjA: conserved hypothetical protein"
"pdf1","NWMN_0957","polypeptide deformylase 2","pdf1: polypeptide deformylase 2"
"0958","NWMN_0958","conserved hypothetical protein","0958: conserved hypothetical protein"
"phdA","NWMN_0959","pyruvate dehydrogenase E1 component%2C alpha subunit","phdA: pyruvate dehydrogenase E1 component%2C alpha subunit"
"phdB","NWMN_0960","pyruvate dehydrogenase E1 component%2C beta subunit","phdB: pyruvate dehydrogenase E1 component%2C beta subunit"
"pdhC","NWMN_0961","dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex","pdhC: dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex"
"pdhD","NWMN_0962","dihydrolipoamide dehydrogenase: subunit E3","pdhD: dihydrolipoamide dehydrogenase: subunit E3"
"0963","NWMN_0963","conserved hypothetical protein","0963: conserved hypothetical protein"
"0964","NWMN_0964","conserved hypothetical protein","0964: conserved hypothetical protein"
"potA","NWMN_0965","spermidine/putrescine ABC transporter%2C ATP-binding protein","potA: spermidine/putrescine ABC transporter%2C ATP-binding protein"
"potB","NWMN_0966","spermidine/putrescine ABC transporter%2C permease protein","potB: spermidine/putrescine ABC transporter%2C permease protein"
